J_Id,coverage
1,Human Rights
1,Politics
1,War
2,Crime
2,Politics
2,War
3,Human Rights
3,Politics
5,Politics
6,War
7,Human Rights
7,Politics
9,Politics
11,Human Rights
11,Politics
11,War
12,Corruption
12,Human Rights
12,War
13,Human Rights
13,Politics
14,Human Rights
14,War
16,Politics
17,Human Rights
17,War
18,War
20,Human Rights
20,Politics
21,Politics
22,Culture
22,Sports
23,Politics
24,Politics
25,War
26,War
27,Human Rights
27,Politics
28,Politics
29,Politics
30,Corruption
30,Culture
30,Human Rights
30,Politics
31,War
32,Culture
32,Politics
33,Politics
34,Human Rights
35,Politics
36,Corruption
36,Human Rights
36,War
37,Culture
37,Politics
38,Crime
39,War
40,Business
40,Corruption
40,Crime
40,Culture
40,Human Rights
40,Politics
40,Sports
40,War
42,Culture
42,Human Rights
42,Politics
43,Corruption
44,Politics
44,War
46,Politics
48,Human Rights
48,Politics
49,Culture
49,Human Rights
49,Politics
50,Human Rights
50,Politics
53,Corruption
53,Politics
54,War
55,Politics
55,War
56,Politics
57,Politics
58,Human Rights
58,War
58,Politics
58,Sports
59,Crime
59,Politics
59,War
60,Politics
60,War
61,Politics
61,War
62,War
63,Human Rights
63,Politics
63,War
65,War
67,Crime
68,War
69,Crime
70,Human Rights
70,Politics
71,Politics
71,War
74,Human Rights
74,Politics
74,War
75,War
76,Politics
78,Human Rights
78,Politics
79,Politics
80,Politics
81,Culture
81,War
82,Corruption
82,Crime
82,Culture
82,Human Rights
82,Politics
82,War
83,Politics
84,Culture
84,Crime
84,Business
85,Human Rights
85,War
86,Politics
87,Politics
87,War
88,Politics
89,Politics
91,Politics
92,Culture
92,Politics
93,Corruption
93,Crime
93,Human Rights
93,Politics
94,War
94,Human Rights
94,Culture
94,Politics
95,War
96,Politics
97,Human Rights
97,Politics
98,Politics
99,Politics
101,Politics
102,Politics
103,Culture
104,Politics
105,Politics
106,Politics
107,Culture
107,Human Rights
107,Politics
108,Business
108,Corruption
108,Crime
108,Culture
108,Human Rights
108,Politics
108,War
109,Corruption
109,Crime
109,Culture
109,Human Rights
109,Politics
109,War
110,Human Rights
110,Politics
112,Human Rights
112,Politics
116,Culture
117,Culture
118,Politics
120,Politics
121,Politics
121,War
122,Corruption
123,Politics
124,Politics
125,Human Rights
125,Politics
126,Politics
127,Politics
127,War
129,Business
129,Corruption
129,Crime
129,Culture
129,Human Rights
129,Politics
129,Sports
130,Human Rights
132,Business
132,Corruption
132,Culture
132,Human Rights
132,Politics
133,Culture
133,Politics
134,Culture
135,War
136,Human Rights
136,Politics
136,Sports
137,Politics
137,War
138,Human Rights
138,Politics
139,Human Rights
140,Culture
140,Politics
141,War
143,Human Rights
143,Politics
144,War
147,Politics
147,War
148,Politics
150,Politics
151,Politics
152,War
153,War
154,Culture
154,Politics
155,Crime
157,Politics
158,Crime
159,Politics
160,Corruption
161,Corruption
161,Human Rights
162,Culture
162,Human Rights
163,Business
163,Corruption
163,Politics
164,Politics
165,Human Rights
165,Politics
166,War
168,Culture
169,War
171,War
172,Politics
173,War
174,Human Rights
174,Politics
174,War
178,Politics
179,Human Rights
179,Politics
182,War
183,Human Rights
183,War
184,Human Rights
184,Politics
185,Politics
185,War
186,Human Rights
186,Politics
186,War
187,War
188,War
189,Politics
190,Human Rights
190,War
191,Human Rights
191,Politics
192,War
193,Corruption
194,Politics
194,War
195,Politics
196,Culture
196,Politics
197,Business
197,Corruption
197,Human Rights
197,Politics
198,Culture
198,Politics
199,Politics
200,War
201,War
202,Human Rights
202,Politics
202,War
203,Politics
204,Human Rights
204,Politics
205,Politics
206,Corruption
206,Crime
206,Human Rights
206,Sports
206,Politics
208,Human Rights
208,Politics
209,War
210,War
212,Culture
212,Human Rights
212,Politics
213,Human Rights
213,Politics
213,War
214,Crime
214,War
215,Politics
215,War
216,Corruption
216,Human Rights
216,Politics
217,Corruption
217,Crime
217,Culture
217,Human Rights
217,Politics
218,Human Rights
218,War
219,Culture
220,Politics
221,Politics
221,War
222,Human Rights
222,Politics
223,Corruption
223,Human Rights
223,Politics
223,War
224,Politics
224,War
225,Human Rights
225,War
226,War
227,Politics
228,War
229,Culture
230,Politics
231,Politics
231,War
232,Corruption
232,Crime
232,Human Rights
232,Politics
232,War
234,Business
234,Corruption
234,Crime
234,Culture
234,Human Rights
234,Politics
234,Sports
234,War
235,Politics
237,Politics
238,Corruption
238,Crime
238,Politics
239,Politics
239,Corruption
241,Culture
241,Politics
242,Crime
243,Politics
244,Corruption
244,Human Rights
244,Politics
245,War
246,Culture
247,Politics
248,Culture
248,Human Rights
248,Politics
251,Corruption
251,Human Rights
251,Politics
253,Politics
255,Politics
256,Politics
257,Politics
259,Corruption
259,Crime
259,Culture
259,Human Rights
259,Politics
260,Business
260,Corruption
260,Crime
260,Culture
260,Human Rights
260,Politics
260,Sports
260,War
261,Human Rights
261,Politics
262,Human Rights
262,Politics
262,War
263,Sports
264,Culture
264,Human Rights
264,Politics
265,War
266,Crime
266,Human Rights
266,Politics
266,War
268,War
268,Human Rights
269,War
271,War
272,Human Rights
273,Politics
274,Politics
275,Politics
278,Politics
280,Corruption
280,Politics
284,Corruption
284,Politics
287,Human Rights
287,War
288,Politics
289,Crime
290,Politics
290,War
291,Business
291,Corruption
291,Crime
291,Human Rights
291,Politics
291,War
292,Politics
293,Politics
294,Corruption
294,Politics
294,War
295,Corruption
295,Politics
296,War
297,Business
297,Corruption
297,Crime
297,Politics
298,War
299,Culture
300,Politics
303,War
305,Business
305,Culture
305,Politics
307,Human Rights
310,Corruption
310,Human Rights
310,Politics
311,Crime
314,Crime
315,Politics
315,War
316,War
317,War
318,Culture
318,Human Rights
318,Politics
319,Human Rights
319,Politics
319,War
320,Culture
321,Politics
322,Human Rights
322,Politics
324,Culture
324,War
325,Corruption
325,Crime
325,Politics
326,Business
326,Politics
327,Corruption
327,Politics
328,Corruption
328,Crime
328,Politics
329,War
330,War
331,Sports
336,Corruption
336,Culture
336,Human Rights
336,Politics
337,Human Rights
337,War
338,War
339,Politics
340,Politics
341,Politics
343,Culture
344,Human Rights
344,Politics
344,War
345,Culture
345,Politics
346,Politics
346,Culture
346,Human Rights
346,Sports
346,Business
348,War
349,Politics
349,War
350,War
352,War
356,Politics
357,War
358,War
359,Culture
359,Politics
360,Politics
361,Politics
362,Corruption
362,Politics
363,Politics
364,Politics
365,Human Rights
365,Politics
366,Human Rights
366,Politics
367,Business
367,Corruption
367,Crime
367,Culture
367,Human Rights
367,Politics
367,Sports
369,War
371,War
372,Culture
372,Human Rights
372,Politics
372,War
373,Politics
374,Culture
374,Sports
375,Politics
378,Politics
379,Crime
379,Culture
379,Politics
380,Business
380,Corruption
380,Crime
380,Culture
380,Human Rights
380,Politics
380,Sports
380,War
382,Corruption
382,Human Rights
382,Politics
383,Culture
383,Politics
385,Human Rights
385,Politics
386,Human Rights
386,War
388,War
389,Politics
390,Business
390,Culture
390,Politics
391,Politics
392,Culture
392,Human Rights
393,War
394,War
395,War
396,Culture
396,Politics
397,Politics
398,Human Rights
398,War
399,Human Rights
399,Politics
399,War
400,Human Rights
401,Human Rights
401,Politics
401,War
402,Corruption
403,Corruption
405,Corruption
405,Politics
406,Human Rights
406,Politics
407,Culture
407,Human Rights
407,Politics
408,Human Rights
409,Politics
410,Human Rights
410,War
411,Human Rights
411,War
413,Human Rights
414,Politics
414,War
415,Corruption
415,Politics
416,Corruption
416,Politics
417,Politics
419,Politics
420,Politics
421,Human Rights
421,War
423,War
424,Human Rights
424,War
426,Politics
428,Politics
429,Business
429,Corruption
429,Crime
429,Culture
429,Human Rights
429,Politics
429,War
430,Corruption
431,Human Rights
431,War
432,Corruption
432,Human Rights
432,War
435,War
436,Human Rights
437,War
438,Culture
438,Politics
440,Crime
440,Politics
441,Politics
445,Corruption
445,Crime
449,Culture
449,Human Rights
449,Politics
451,Business
451,Corruption
451,Politics
453,War
455,Corruption
455,Culture
456,Politics
457,Corruption
458,Politics
458,War
459,Politics
460,Politics
461,Politics
462,Crime
463,Corruption
463,Politics
467,War
468,Politics
471,War
474,Corruption
474,Human Rights
474,Politics
475,Crime
475,Politics
477,Politics
478,Human Rights
480,Politics
482,Politics
482,War
483,Politics
484,Business
484,Culture
484,Human Rights
484,Politics
485,Human Rights
485,Politics
486,War
487,War
488,Human Rights
488,Politics
488,War
490,Corruption
491,Culture
491,Human Rights
491,Politics
492,Corruption
492,Politics
493,Politics
494,Politics
495,Politics
496,Human Rights
496,Politics
498,Human Rights
499,War
501,Human Rights
501,Politics
502,Human Rights
502,War
503,Human Rights
503,Politics
504,Politics
505,Human Rights
505,Politics
506,Politics
510,Business
510,Politics
511,Culture
511,Human Rights
511,Politics
512,Politics
512,War
513,Politics
514,Human Rights
514,Politics
515,Human Rights
515,War
516,Business
516,Corruption
516,Crime
516,Culture
516,Human Rights
516,Politics
516,Sports
516,War
517,Politics
518,Culture
518,Human Rights
518,Politics
519,Culture
519,Sports
521,Politics
522,Human Rights
522,Politics
523,Culture
523,Human Rights
523,Politics
525,Crime
526,Corruption
526,Politics
527,Corruption
527,Crime
527,Human Rights
527,Politics
527,War
528,Human Rights
528,Politics
529,Crime
532,Human Rights
534,Human Rights
535,Human Rights
535,Politics
537,War
538,Culture
538,Politics
538,War
539,Business
539,Corruption
539,Crime
539,Human Rights
539,Politics
539,Sports
539,War
541,Culture
541,Politics
542,Politics
544,Politics
546,Culture
548,Human Rights
548,Politics
552,Business
554,Politics
556,Human Rights
556,Politics
557,Politics
560,Politics
562,Culture
562,War
563,Business
563,Human Rights
563,Politics
564,Politics
564,War
565,War
566,Corruption
566,Culture
566,Politics
566,War
567,War
568,Politics
568,War
569,Human Rights
569,Politics
572,Human Rights
572,War
573,Human Rights
573,Politics
574,Politics
574,War
575,Politics
576,Corruption
576,Crime
576,Human Rights
576,Politics
576,War
577,Politics
578,Culture
578,Politics
579,Human Rights
579,Politics
579,Corruption
583,Politics
586,Corruption
586,Crime
589,Business
589,Corruption
589,Crime
589,Culture
589,Human Rights
589,Politics
589,War
590,Corruption
590,Crime
591,Business
592,Culture
592,Human Rights
592,Politics
594,Corruption
594,Politics
596,Politics
596,War
597,Politics
598,Corruption
598,Crime
599,Politics
600,Business
600,Culture
600,Politics
601,Politics
603,Corruption
603,Politics
604,Human Rights
604,Politics
604,War
605,War
606,Politics
606,War
607,Culture
607,Human Rights
607,Politics
607,War
608,Culture
608,Politics
608,War
611,Crime
615,Politics
616,Corruption
616,Crime
618,Corruption
618,Culture
618,Politics
619,Corruption
619,Politics
621,Corruption
623,Politics
623,War
624,Politics
626,Politics
626,War
627,Human Rights
628,Politics
629,Business
629,Human Rights
629,Politics
630,War
631,Sports
632,Human Rights
632,Politics
635,Politics
637,Politics
638,Politics
639,Politics
640,Business
640,Corruption
640,Crime
640,Culture
640,Human Rights
640,Politics
640,Sports
640,War
641,Politics
642,War
643,Crime
648,Politics
649,Politics
650,Human Rights
650,Politics
652,Human Rights
653,Human Rights
653,War
654,Corruption
654,Politics
654,War
655,Human Rights
655,Politics
655,War
656,Crime
658,Business
658,Corruption
658,Crime
659,Corruption
659,Crime
659,Politics
660,Business
660,Crime
661,Politics
663,Corruption
663,Politics
667,Politics
668,Corruption
672,Politics
672,War
673,Crime
673,Corruption
674,Politics
678,Human Rights
678,Politics
679,Corruption
679,Politics
681,Politics
683,War
684,Corruption
685,Politics
686,Corruption
686,Crime
686,Politics
687,Politics
689,Human Rights
689,Politics
691,Human Rights
691,Politics
692,Business
692,Human Rights
692,Politics
693,Business
693,Corruption
693,Crime
693,Culture
693,Politics
694,Politics
695,Politics
696,Business
696,Corruption
696,Politics
697,Politics
698,Business
698,Human Rights
698,Politics
699,Human Rights
699,Politics
700,Politics
701,Human Rights
701,Politics
702,Politics
703,Corruption
704,Politics
706,Politics
707,Corruption
707,Human Rights
707,Politics
709,Politics
710,Human Rights
710,War
711,Corruption
711,Politics
711,War
712,Politics
713,Culture
713,Politics
714,Human Rights
715,Politics
716,War
718,Crime
719,War
720,Politics
720,War
722,Politics
724,War
724,Corruption
724,Politics
725,Business
725,Politics
726,Corruption
726,Politics
728,Politics
729,Corruption
730,Politics
731,Human Rights
731,Politics
731,War
732,Corruption
732,Crime
732,Human Rights
732,Politics
733,Politics
734,Politics
734,Culture
736,Corruption
738,Politics
739,Business
739,Corruption
739,Crime
739,Human Rights
739,Politics
739,War
740,War
741,Crime
742,Corruption
742,Politics
743,Human Rights
743,Politics
744,Business
744,Corruption
744,Crime
744,Culture
744,Human Rights
744,Politics
744,Sports
744,War
745,Politics
747,Corruption
747,Politics
748,Politics
748,War
749,Business
749,Culture
749,Politics
749,Sports
750,War
751,Culture
751,Human Rights
756,Politics
757,Corruption
757,Crime
757,Politics
758,Corruption
758,Crime
759,Corruption
759,Crime
761,Business
761,Corruption
761,Crime
761,Human Rights
761,Politics
762,War
763,Politics
764,Corruption
764,Politics
765,Culture
765,Politics
766,Politics
767,Politics
768,War
770,Politics
770,War
771,Politics
771,War
772,Corruption
772,Crime
772,Politics
774,Politics
775,Politics
777,Culture
778,Human Rights
778,Politics
779,Culture
779,Human Rights
779,Politics
780,Culture
780,Human Rights
780,Politics
781,Politics
782,Culture
782,Politics
783,Corruption
783,Politics
784,Politics
785,Culture
787,Politics
788,Human Rights
788,Politics
789,Politics
789,War
790,Politics
791,Politics
792,Politics
795,Politics
796,Corruption
797,Politics
803,Politics
803,War
804,War
805,Culture
805,Human Rights
805,Politics
809,Corruption
809,Politics
811,Politics
813,Corruption
813,Human Rights
813,Politics
814,War
815,Culture
816,Culture
816,Politics
816,War
818,Human Rights
818,Politics
819,Corruption
819,Politics
820,Human Rights
822,Politics
823,Politics
826,Corruption
826,Crime
827,War
828,War
829,War
830,War
831,Politics
832,War
833,Corruption
833,Crime
834,Corruption
835,Corruption
835,Politics
837,War
838,Corruption
838,Human Rights
838,Politics
842,Culture
842,Politics
843,Crime
844,Corruption
844,Crime
844,Politics
845,War
846,Human Rights
846,Politics
847,Human Rights
847,Politics
848,Business
848,Corruption
848,Crime
848,Politics
849,Politics
850,Culture
850,Human Rights
850,Politics
851,Culture
851,Politics
852,Human Rights
853,War
854,Crime
854,Politics
856,Politics
858,Corruption
858,Politics
860,Corruption
860,Politics
861,Business
861,Culture
861,Human Rights
861,Politics
862,Corruption
862,Politics
862,War
863,Business
863,Crime
863,Culture
863,Politics
865,Business
865,Culture
865,Politics
867,Corruption
867,Crime
868,Crime
868,Culture
870,Politics
871,Crime
871,Human Rights
872,Corruption
872,Crime
872,Politics
874,Politics
877,Corruption
878,Human Rights
878,Politics
879,Corruption
879,Politics
880,Corruption
880,Crime
881,Corruption
881,Politics
886,Politics
887,War
889,Human Rights
890,Politics
891,Culture
892,Politics
893,Human Rights
893,Politics
895,Politics
896,War
897,Human Rights
897,Politics
898,Politics
898,War
900,Corruption
900,Politics
901,Politics
902,Human Rights
903,Crime
904,Human Rights
904,Politics
905,Corruption
906,Crime
907,Crime
908,Corruption
908,Politics
909,Corruption
909,Politics
910,War
911,Culture
913,Culture
913,Human Rights
913,Politics
914,Crime
914,Politics
915,Culture
915,Human Rights
915,Politics
919,Politics
925,Business
925,Corruption
925,Politics
925,War
926,Human Rights
926,Politics
927,Politics
927,War
928,Human Rights
928,Politics
928,War
931,Business
931,Corruption
931,Politics
932,War
933,Corruption
933,Politics
934,Corruption
934,Crime
934,Culture
934,Human Rights
934,Politics
934,War
935,Politics
936,Culture
936,Politics
937,Corruption
937,Politics
937,War
938,Corruption
938,Crime
938,Culture
938,Human Rights
938,Politics
938,War
939,Business
939,Corruption
939,Crime
939,Culture
939,Human Rights
939,Politics
939,Sports
939,War
941,Corruption
942,Business
942,Corruption
942,Human Rights
942,Politics
944,Culture
944,Human Rights
944,Politics
946,Business
946,Corruption
947,Politics
948,Politics
950,Politics
951,War
952,Human Rights
952,Politics
953,Culture
954,Politics
954,Corruption
954,Human Rights
955,Culture
957,Corruption
957,Culture
957,Human Rights
957,Politics
958,Business
959,Politics
960,Corruption
960,Politics
961,Corruption
961,Crime
965,Crime
966,Human Rights
966,Politics
968,Politics
969,Culture
969,War
970,Human Rights
971,Human Rights
972,War
973,Corruption
973,Human Rights
973,Politics
973,War
974,War
975,Human Rights
976,Corruption
976,Politics
977,Culture
978,Politics
979,Politics
980,Politics
982,Human Rights
982,Politics
982,Sports
983,Politics
984,Corruption
984,War
985,War
987,Politics
988,Politics
989,Corruption
989,Politics
990,Politics
992,Politics
992,Corruption
993,Corruption
993,Human Rights
993,Politics
993,War
994,Human Rights
994,Politics
995,Politics
995,War
996,Crime
996,Culture
998,Culture
998,Politics
998,War
1001,War
1002,Culture
1002,Human Rights
1003,Business
1003,Corruption
1003,Crime
1003,Culture
1003,Human Rights
1003,Politics
1003,Sports
1003,War
1005,Culture
1005,Politics
1006,Politics
1009,Politics
1010,Politics
1012,Human Rights
1012,Politics
1013,Crime
1014,War
1016,Politics
1017,Politics
1019,Politics
1020,Politics
1022,Crime
1024,Corruption
1024,Crime
1026,Corruption
1026,Human Rights
1027,Politics
1028,Human Rights
1029,War
1031,Corruption
1033,Politics
1035,Politics
1036,Corruption
1036,Politics
1037,Politics
1038,Politics
1039,Business
1039,Corruption
1039,Crime
1039,Culture
1039,Human Rights
1039,Politics
1039,Sports
1039,War
1042,Business
1042,Corruption
1042,Crime
1042,Culture
1042,Human Rights
1042,Politics
1042,Sports
1042,War
1043,Human Rights
1043,War
1044,Human Rights
1045,Human Rights
1045,Politics
1046,Corruption
1046,Crime
1047,Politics
1048,Politics
1050,Politics
1050,War
1051,Politics
1051,War
1052,Politics
1054,Human Rights
1054,Politics
1055,Crime
1056,Corruption
1057,Corruption
1058,War
1059,Politics
1060,Corruption
1060,Crime
1061,Human Rights
1061,Politics
1062,Corruption
1062,Crime
1062,Politics
1063,Crime
1065,Politics
1066,Crime
1066,Politics
1069,Corruption
1069,Politics
1070,Human Rights
1071,Politics
1073,Politics
1075,Politics
1076,Politics
1077,Corruption
1077,Politics
1078,Politics
1078,War
1079,Politics
1080,Business
1080,Culture
1082,Human Rights
1082,Politics
1082,War
1084,War
1086,Politics
1086,War
1088,Corruption
1088,Human Rights
1088,Politics
1089,Politics
1090,Corruption
1091,Corruption
1091,Politics
1092,Politics
1094,Crime
1094,Culture
1094,Human Rights
1094,Politics
1095,Politics
1095,War
1096,Corruption
1096,Human Rights
1096,Politics
1097,Corruption
1097,Crime
1097,Politics
1098,Politics
1099,Politics
1100,Crime
1101,Corruption
1101,Politics
1102,Politics
1103,Corruption
1105,War
1106,Politics
1111,Corruption
1111,Human Rights
1112,Culture
1112,Human Rights
1112,Politics
1114,War
1115,Corruption
1116,Corruption
1116,Politics
1117,Business
1117,Crime
1117,Culture
1117,Politics
1119,Crime
1119,Politics
1120,Politics
1122,Business
1122,Corruption
1122,Politics
1123,Corruption
1123,Politics
1124,Politics
1124,War
1126,Corruption
1126,Human Rights
1126,Politics
1127,Corruption
1130,Human Rights
1130,Politics
1130,War
1131,Culture
1131,Sports
1134,Crime
1134,Politics
1134,War
1136,Politics
1137,Culture
1137,Human Rights
1137,Politics
1139,Human Rights
1139,Politics
1139,War
1140,Human Rights
1140,Politics
1141,Crime
1141,Culture
1141,Politics
1142,Culture
1143,Human Rights
1144,Corruption
1144,Politics
1145,Politics
1146,Human Rights
1146,Politics
1148,Politics
1150,Corruption
1150,Crime
1155,Politics
1156,Politics
1158,Crime
1159,Crime
1159,Sports
1161,War
1162,Politics
1162,War
1163,Human Rights
1163,War
1164,Culture
1165,Corruption
1165,Crime
1166,Politics
1169,Politics
1170,Culture
1170,Human Rights
1170,Politics
1171,Crime
1172,Corruption
1172,Human Rights
1172,Politics
1173,Corruption
1173,Politics
1174,Corruption
1174,Politics
1175,Politics
1176,Culture
1178,Politics
1179,Crime
1179,Politics
1180,Corruption
1180,Culture
1180,Sports
1181,Politics
1182,Corruption
1182,Crime
1182,Human Rights
1182,Politics
1186,Crime
1186,Politics
1191,Culture
1191,Human Rights
1191,Politics
1192,Politics
1193,Human Rights
1193,Politics
1193,War
1194,War
1197,Business
1199,Culture
1200,Corruption
1200,Politics
1201,Corruption
1201,Human Rights
1201,Politics
1202,Human Rights
1202,Politics
1205,Politics
1205,War
1206,Politics
1206,War
1207,Politics
1210,Politics
1211,Business
1213,Corruption
1213,Human Rights
1213,Politics
1216,Politics
1217,Politics
1218,Politics
1219,Corruption
1219,Culture
1219,Politics
1220,Politics
1221,Culture
1222,War
1223,Politics
1223,Sports
1224,Culture
1224,Human Rights
1225,Politics
1226,Corruption
1226,Human Rights
1226,Politics
1227,Human Rights
1227,War
1229,Culture
1230,Politics
1231,Corruption
1231,Politics
1232,Corruption
1233,Business
1233,Corruption
1233,Crime
1233,Politics
1234,Politics
1235,Culture
1235,Politics
1236,Politics
1237,Human Rights
1237,Politics
1238,Politics
1239,War
1240,Politics
1241,Crime
1241,Politics
1242,Culture
1242,Human Rights
1242,Politics
1242,War
1242,Sports
1243,War
1244,Politics
1245,Corruption
1245,Crime
1247,Politics
1248,Culture
1249,War
1250,War
1251,Human Rights
1251,Politics
1253,Politics
1253,War
1254,Human Rights
1254,War
1255,Business
1255,Corruption
1255,Human Rights
1255,Politics
1255,War
1256,Human Rights
