J_Id,medium
1,Print
2,Radio
2,Internet
3,Print
4,Print
5,Internet
6,Internet
8,Print
9,Print
10,Print
11,Internet
12,Internet
12,Print
13,Internet
13,Print
14,Internet
15,Internet
16,Print
17,Internet
18,Print
20,Internet
21,Internet
22,Print
23,Documentary Film
23,Internet
23,Print
25,Print
26,Print
27,Internet
28,Print
29,Television
30,Internet
30,Television
31,Print
31,Television
32,Internet
33,Print
33,Internet
34,Radio
35,Print
36,Radio
37,Radio
37,Television
39,Radio
39,Internet
40,Internet
40,Television
42,Radio
43,Print
44,Radio
46,Radio
46,Television
48,Radio
48,Television
49,Radio
50,Print
53,Print
54,Television
55,Print
56,Internet
57,Print
58,Internet
59,Television
60,Television
61,Television
62,Television
63,Radio
63,Internet
65,Internet
67,Television
68,Television
69,Print
69,Radio
70,Print
71,Television
74,Television
75,Print
76,Internet
76,Print
77,Internet
78,Internet
79,Radio
79,Television
80,Radio
81,Print
82,Internet
83,Internet
83,Print
84,Radio
85,Internet
87,Television
88,Print
89,Internet
89,Television
91,Print
92,Internet
93,Internet
94,Television
95,Television
96,Television
97,Internet
98,Print
99,Radio
101,Radio
101,Television
102,Print
103,Internet
104,Internet
104,Print
105,Radio
106,Radio
107,Internet
108,Print
109,Television
110,Print
112,Internet
113,Print
116,Print
117,Print
118,Print
119,Print
120,Internet
121,Print
122,Print
123,Radio
124,Print
125,Radio
126,Television
127,Radio
129,Television
130,Radio
132,Internet
132,Print
132,Radio
132,Television
133,Internet
134,Print
135,Television
136,Internet
137,Television
138,Internet
139,Print
140,Television
143,Internet
144,Television
145,Print
146,Print
147,Television
148,Print
149,Print
150,Internet
151,Print
152,Television
153,Television
154,Television
155,Radio
157,Print
158,Print
159,Internet
159,Print
160,Internet
161,Internet
162,Internet
163,Internet
163,Print
164,Internet
165,Print
166,Print
167,Print
168,Print
169,Internet
170,Print
171,Television
172,Print
173,Print
173,Television
174,Television
176,Print
178,Print
178,Internet
179,Broadcast
179,Television
181,Internet
182,Radio
183,Radio
184,Print
184,Television
185,Internet
185,Television
186,Internet
187,Internet
188,Print
189,Radio
190,Internet
191,Print
191,Internet
192,Internet
193,Print
194,Radio
195,Internet
196,Television
197,Documentary Film
197,Internet
197,Television
198,Internet
199,Internet
200,Television
201,Television
202,Internet
203,Radio
204,Internet
205,Print
206,Documentary Film
207,Television
208,Internet
209,Television
210,Print
211,Radio
212,Print
213,Internet
214,Internet
214,Radio
215,Internet
216,Internet
217,Print
217,Internet
218,Television
219,Television
220,Internet
220,Print
221,Print
222,Documentary Film
223,Radio
224,Television
225,Internet
226,Print
227,Internet
227,Print
228,Television
228,Internet
229,Internet
229,Print
230,Television
231,Television
232,Internet
232,Print
232,Television
233,Print
234,Internet
235,Internet
235,Print
236,Print
237,Print
238,Internet
238,Print
239,Print
241,Internet
242,Print
243,Print
244,Print
245,Print
246,Print
247,Print
248,Internet
250,Television
251,Internet
252,Print
253,Radio
254,Print
255,Print
256,Internet
256,Print
257,Print
259,Internet
259,Print
259,Radio
260,Internet
260,Print
261,Print
261,Internet
262,Radio
262,Television
263,Television
264,Internet
264,Print
265,Television
266,Television
268,Internet
269,Internet
271,Television
273,Radio
274,Print
275,Internet
278,Radio
280,Radio
284,Internet
285,Print
287,Television
288,Print
289,Radio
290,Print
291,Television
292,Television
293,Print
294,Internet
294,Print
295,Internet
296,Print
297,Print
298,Television
299,Print
300,Radio
303,Print
303,Internet
304,Print
305,Print
306,Print
307,Radio
307,Television
308,Print
310,Radio
311,Television
312,Print
313,Internet
314,Print
315,Television
315,Internet
316,Radio
317,Television
318,Internet
319,Radio
319,Internet
320,Print
320,Internet
321,Print
321,Internet
322,Radio
323,Print
324,Television
325,Internet
325,Print
326,Print
327,Internet
328,Print
329,Television
330,Television
331,Television
333,Print
335,Print
336,Print
337,Internet
338,Television
339,Print
340,Internet
341,Print
341,Internet
343,Print
344,Print
344,Internet
346,Television
347,Print
348,Television
348,Internet
349,Television
350,Television
352,Radio
353,Print
354,Print
355,Print
357,Television
358,Internet
358,Print
358,Television
359,Internet
359,Television
360,Internet
361,Internet
361,Print
362,Print
363,Print
364,Print
365,Print
366,Print
366,Radio
366,Internet
367,Television
369,Print
371,Print
372,Print
372,Internet
373,Print
374,Print
375,Television
376,Radio
377,Print
378,Television
379,Radio
379,Television
380,Radio
380,Television
381,Print
382,Print
383,Print
385,Internet
386,Internet
387,Television
388,Television
389,Internet
389,Print
390,Print
391,Internet
392,Internet
393,Television
394,Television
395,Internet
396,Internet
397,Internet
398,Internet
399,Internet
400,Television
401,Internet
402,Print
403,Print
405,Print
406,Internet
407,Print
407,Internet
408,Television
409,Print
410,Internet
410,Television
411,Internet
412,Print
413,Print
414,Television
415,Print
416,Print
417,Print
418,Print
419,Television
420,Radio
420,Print
421,Print
421,Internet
423,Print
424,Print
424,Internet
426,Print
428,Print
429,Print
430,Internet
430,Print
431,Print
431,Internet
432,Print
433,Print
434,Print
435,Television
436,Print
437,Print
438,Television
440,Radio
441,Television
442,Television
442,Radio
445,Radio
446,Internet
447,Internet
448,Radio
449,Internet
451,Television
453,Print
455,Print
456,Print
457,Print
458,Television
459,Print
460,Internet
461,Radio
462,Radio
463,Print
463,Radio
466,Print
467,Radio
468,Print
471,Television
473,Print
474,Internet
475,Print
476,Print
477,Print
478,Print
480,Print
481,Print
482,Internet
482,Print
483,Print
484,Print
485,Print
486,Print
487,Television
488,Internet
489,Internet
490,Print
490,Television
491,Internet
492,Radio
493,Print
493,Internet
494,Print
495,Print
496,Internet
498,Internet
498,Television
499,Television
500,Print
500,Radio
501,Print
502,Print
503,Print
504,Print
504,Radio
504,Television
505,Documentary Film
506,Print
510,Print
511,Print
511,Internet
512,Internet
513,Radio
513,Television
514,Print
515,Internet
516,Internet
517,Internet
518,Internet
519,Television
520,Print
521,Print
522,Internet
523,Print
524,Print
525,Print
526,Internet
527,Internet
527,Print
527,Television
528,Print
528,Internet
529,Internet
529,Print
531,Television
532,Internet
534,Television
535,Internet
536,Print
537,Print
538,Print
539,Internet
539,Television
540,Print
541,Internet
541,Print
542,Print
544,Print
544,Internet
546,Print
547,Print
548,Television
549,Print
550,Internet
550,Print
551,Print
552,Television
554,Print
556,Print
557,Radio
560,Print
561,Print
562,Radio
563,Print
564,Television
565,Internet
566,Television
567,Radio
568,Television
569,Internet
570,Radio
571,Print
572,Internet
573,Internet
574,Radio
574,Television
575,Print
576,Internet
576,Print
577,Print
578,Print
579,Internet
580,Print
582,Print
583,Print
584,Print
586,Print
587,Radio
588,Radio
589,Internet
590,Television
591,Print
591,Internet
592,Print
592,Internet
594,Internet
595,Print
596,Print
597,Print
598,Print
599,Print
600,Print
601,Print
602,Radio
603,Internet
603,Radio
604,Television
605,Internet
605,Print
606,Television
607,Print
608,Documentary Film
608,Internet
608,Print
609,Radio
610,Print
611,Print
611,Radio
611,Television
612,Print
613,Print
614,Print
615,Print
616,Print
618,Internet
618,Radio
619,Print
621,Print
623,Print
624,Print
625,Print
626,Television
627,Internet
628,Print
629,Internet
629,Radio
630,Print
631,Television
632,Radio
635,Print
637,Internet
638,Radio
638,Print
639,Print
640,Internet
641,Print
642,Television
643,Print
644,Print
645,Print
646,Print
647,Print
648,Print
649,Internet
652,Television
653,Print
653,Internet
654,Print
655,Radio
656,Print
658,Print
659,Print
659,Internet
660,Print
661,Television
663,Radio
667,Radio
668,Radio
670,Print
672,Print
673,Print
673,Internet
674,Internet
674,Print
675,Print
676,Print
677,Print
678,Print
679,Print
680,Print
681,Print
683,Print
684,Print
685,Print
685,Television
686,Print
687,Print
689,Print
691,Print
692,Internet
693,Print
694,Radio
695,Internet
695,Print
696,Internet
697,Print
698,Internet
699,Internet
700,Internet
701,Internet
702,Print
703,Print
704,Print
705,Print
706,Print
707,Print
709,Print
710,Print
711,Print
712,Print
713,Print
713,Internet
714,Print
715,Radio
716,Print
716,Internet
717,Print
718,Television
719,Print
720,Radio
721,Print
722,Internet
722,Radio
724,Print
724,Internet
725,Print
725,Radio
726,Radio
728,Print
729,Print
730,Internet
730,Print
731,Radio
732,Print
733,Print
734,Print
736,Radio
737,Print
738,Internet
738,Print
739,Internet
739,Print
740,Print
742,Print
743,Internet
744,Television
745,Television
746,Print
747,Internet
748,Radio
749,Internet
750,Print
751,Internet
754,Print
755,Radio
755,Television
756,Print
757,Print
758,Print
759,Print
760,Print
761,Internet
762,Television
763,Radio
763,Print
764,Radio
765,Television
766,Television
767,Print
768,Television
770,Radio
770,Internet
771,Television
772,Radio
772,Television
774,Internet
774,Radio
775,Print
777,Print
778,Print
779,Internet
780,Internet
781,Print
782,Print
783,Print
784,Print
785,Print
787,Print
788,Radio
789,Internet
789,Print
790,Print
791,Radio
792,Radio
792,Print
793,Radio
796,Radio
797,Print
799,Print
800,Radio
803,Print
803,Internet
804,Television
805,Documentary Film
809,Print
811,Print
813,Internet
814,Television
814,Internet
815,Internet
816,Television
818,Print
819,Print
820,Internet
822,Internet
823,Print
826,Radio
827,Print
828,Print
829,Print
830,Print
831,Print
832,Print
833,Print
834,Print
835,Print
835,Internet
837,Television
838,Internet
839,Print
840,Print
841,Print
842,Print
843,Radio
844,Print
845,Television
846,Radio
847,Radio
848,Internet
849,Print
850,Internet
851,Internet
852,Radio
853,Television
854,Print
855,Print
856,Television
858,Internet
860,Print
860,Internet
861,Print
862,Internet
863,Internet
865,Print
867,Print
867,Radio
868,Internet
870,Print
871,Television
872,Radio
874,Print
875,Radio
877,Print
878,Internet
879,Print
880,Internet
881,Radio
885,Print
886,Television
887,Radio
889,Radio
890,Radio
891,Print
892,Print
895,Television
896,Television
897,Print
898,Internet
898,Radio
900,Print
901,Internet
902,Internet
903,Radio
904,Internet
905,Print
906,Print
907,Print
908,Print
909,Radio
910,Television
911,Print
911,Internet
913,Internet
915,Internet
916,Radio
917,Print
918,Print
919,Internet
920,Print
921,Print
922,Print
924,Print
925,Print
926,Print
927,Internet
927,Print
928,Television
931,Print
932,Print
933,Radio
933,Television
934,Television
935,Print
936,Print
937,Print
938,Internet
939,Internet
939,Print
940,Print
941,Print
942,Internet
942,Print
943,Print
944,Television
945,Internet
945,Print
945,Radio
946,Print
947,Radio
948,Radio
950,Print
951,Television
952,Internet
953,Print
954,Print
954,Internet
955,Internet
955,Television
956,Print
957,Internet
958,Internet
959,Television
960,Print
961,Internet
962,Print
964,Print
965,Print
966,Internet
967,Print
968,Print
968,Radio
969,Print
970,Print
971,Radio
972,Television
973,Print
974,Television
975,Print
977,Television
978,Television
979,Television
980,Print
981,Print
982,Internet
983,Internet
984,Print
985,Print
987,Print
988,Print
989,Print
990,Print
991,Print
992,Print
992,Internet
993,Print
993,Internet
994,Internet
994,Television
995,Television
996,Television
997,Print
998,Radio
999,Print
999,Radio
1001,Television
1002,Internet
1003,Internet
1004,Print
1006,Print
1007,Print
1008,Print
1009,Print
1010,Print
1011,Print
1012,Internet
1013,Radio
1014,Print
1016,Print
1016,Internet
1017,Print
1019,Print
1020,Print
1022,Print
1024,Print
1026,Print
1027,Internet
1028,Print
1028,Internet
1029,Print
1030,Print
1031,Radio
1033,Print
1035,Print
1036,Radio
1037,Television
1038,Print
1039,Internet
1039,Print
1040,Television
1041,Print
1042,Print
1043,Television
1044,Print
1045,Print
1046,Internet
1047,Print
1047,Radio
1048,Print
1049,Print
1050,Print
1051,Television
1052,Television
1053,Print
1054,Print
1055,Radio
1056,Print
1057,Radio
1058,Print
1059,Print
1060,Print
1060,Internet
1061,Radio
1062,Radio
1062,Internet
1063,Print
1065,Radio
1065,Television
1066,Print
1068,Print
1069,Radio
1070,Print
1071,Print
1072,Print
1073,Television
1074,Print
1075,Print
1076,Print
1077,Print
1078,Internet
1079,Radio
1080,Television
1081,Radio
1082,Print
1084,Print
1086,Print
1086,Television
1088,Print
1089,Print
1090,Print
1091,Print
1091,Internet
1092,Print
1092,Internet
1093,Print
1094,Print
1095,Print
1096,Print
1096,Internet
1097,Print
1098,Print
1099,Print
1100,Television
1101,Print
1102,Print
1103,Print
1104,Print
1105,Print
1106,Radio
1108,Print
1109,Print
1110,Print
1111,Radio
1112,Print
1112,Internet
1114,Print
1115,Internet
1116,Television
1117,Internet
1117,Print
1118,Television
1119,Print
1120,Radio
1122,Radio
1123,Print
1124,Radio
1124,Television
1126,Internet
1127,Print
1128,Print
1129,Print
1130,Internet
1131,Television
1132,Print
1133,Print
1134,Internet
1134,Television
1136,Print
1137,Internet
1138,Radio
1139,Radio
1140,Print
1141,Print
1142,Print
1143,Print
1144,Print
1145,Print
1146,Television
1148,Print
1150,Radio
1153,Print
1155,Print
1156,Print
1157,Radio
1158,Print
1159,Print
1161,Print
1161,Internet
1162,Print
1163,Print
1164,Print
1165,Radio
1166,Internet
1169,Print
1169,Television
1170,Internet
1171,Print
1172,Internet
1173,Internet
1174,Print
1175,Print
1176,Print
1177,Print
1178,Internet
1178,Television
1179,Radio
1180,Radio
1181,Print
1182,Print
1183,Print
1185,Print
1186,Print
1186,Internet
1187,Print
1188,Print
1189,Print
1190,Print
1191,Internet
1192,Internet
1192,Print
1193,Television
1194,Television
1196,Television
1197,Internet
1199,Print
1200,Radio
1201,Print
1202,Print
1203,Print
1205,Television
1206,Print
1207,Radio
1209,Print
1210,Television
1211,Internet
1211,Print
1212,Print
1213,Print
1215,Print
1216,Print
1217,Internet
1218,Internet
1218,Television
1219,Internet
1219,Print
1220,Print
1222,Print
1223,Television
1224,Internet
1225,Television
1226,Internet
1227,Radio
1227,Internet
1229,Internet
1229,Print
1230,Internet
1231,Internet
1232,Print
1233,Print
1234,Internet
1234,Print
1235,Internet
1236,Internet
1237,Internet
1238,Print
1239,Print
1240,Television
1241,Internet
1241,Print
1242,Television
1243,Television
1244,Print
1245,Print
1246,Print
1247,Print
1248,Print
1249,Television
1250,Television
1251,Print
1252,Print
1253,Print
1253,Internet
1254,Radio
1255,Radio
1255,Television
1256,Internet
1257,Radio
1258,Print
1259,Television
1260,Internet
1261,Radio
1262,Television
1263,Television
1264,Print
1265,Internet
1266,Print
1267,Television
1268,Internet
1269,Television
1270,Print
1271,Print
1272,Internet
1272,Print
1273,Internet
1274,Print
1275,Television
1275,Internet
1276,Print
1277,Print
1278,Television
1279,Internet
1280,Print
1281,Print
1282,Print
1285,Print
1287,Print
1288,Radio
1292,Print
1293,Television
1294,Radio
1295,Print
1295,Radio
1299,Radio
1300,Internet
1301,Internet
1301,Print
1303,Print
1304,Print
1306,Radio
1307,Print
1308,Radio
1308,Television
1309,Television
1309,Internet
1310,Internet
1310,Television
1311,Internet
1312,Internet
1312,Print
1314,Print
1314,Internet
1315,Internet
1316,Internet
1317,Print
1318,Print
1319,Radio
1320,Internet
1321,Print
1322,Documentary Film
1322,Internet
1323,Internet
1324,Internet
1325,Internet
1326,Print
1327,Internet
1327,Print
1328,Print
1329,Print
1330,Print
1331,Internet
1332,Internet
1333,Internet
1333,Print
1335,Print
1336,Television
1336,Internet
1337,Print
1340,Print
1341,Print
1342,Radio
1342,Television
1343,Television
1344,Television
1345,Television
1346,Internet
1347,Internet
1347,Print
1348,Internet
1351,Print
1352,Print
1353,Print
1354,Internet
1358,Print
1359,Radio
1359,Television
1360,Television
1361,Internet
1362,Print
1363,Print
1364,Print
1365,Print
1366,Print
1366,Internet
1367,Print
1369,Print
1370,Print
1371,Internet
1372,Print
1372,Internet
1373,Internet
1374,Print
1375,Radio
1376,Print
1377,Television
1379,Print
1380,Internet
1381,Print
1382,Print
1383,Print
1384,Print
1387,Television
1388,Television
1389,Print
1390,Print
1391,Television
1392,Internet
1392,Print
1393,Television
1394,Print
1394,Internet
1398,Internet
1399,Radio
1400,Television
1401,Internet
1402,Print
1404,Print
1407,Print
1408,Television
1409,Television
1411,Print
1413,Print
1413,Television
1417,Radio
1418,Print
1419,Print
1421,Internet
1422,Print
1424,Radio
1425,Internet
1425,Print
1426,Print
1427,Print
1428,Print
1429,Internet
1430,Radio
1432,Print
1435,Internet
1436,Radio
1437,Internet
1438,Radio
1439,Radio
1441,Print
1443,Print
1444,Print
1445,Internet
1446,Print
1447,Radio
1448,Print
1449,Print
1450,Internet
1450,Print
1453,Print
1454,Print
1454,Internet
1455,Television
1457,Print
1457,Internet
1459,Television
1461,Radio
1461,Television
1463,Radio
1464,Print
1465,Radio
1466,Internet
1467,Internet
1468,Television
1469,Internet
1470,Print
1470,Internet
1471,Internet
1472,Print
1473,Print
1474,Print
1475,Television
1477,Internet
1478,Television
1479,Print
1480,Print
1481,Print
1483,Internet
1483,Television
1484,Print
1485,Print
1486,Print
1487,Television
1488,Print
1489,Print
1490,Internet
1490,Print
1491,Radio
1491,Television
1492,Internet
1493,Internet
1494,Television
1495,Print
1495,Television
1495,Internet
1496,Print
1499,Print
1500,Print
1500,Internet
1503,Internet
1504,Print
1504,Internet
1505,Radio
1505,Television
1506,Radio
1507,Print
1508,Radio
1510,Radio
1511,Television
1512,Internet
1513,Print
1513,Internet
1514,Internet
1514,Print
1515,Print
1516,Print
1518,Radio
1519,Print
1519,Internet
1520,Print
1521,Radio
1522,Print
1523,Print
1524,Television
1525,Television
1526,Print
1526,Internet
1527,Internet
1528,Radio
1530,Print
1532,Print
1532,Internet
1533,Radio
1534,Radio
1536,Internet
1538,Print
1539,Print
1540,Print
1541,Print
1542,Internet
1543,Internet
1543,Print
1544,Internet
1546,Print
1547,Print
1548,Internet
1549,Internet
1550,Print
1551,Radio
1553,Print
1554,Print
1555,Radio
1556,Print
1557,Print
1558,Radio
1559,Internet
1559,Print
1560,Radio
1561,Print
1562,Print
1563,Internet
1563,Print
1564,Radio
1565,Radio
1565,Television
1566,Print
1567,Radio
1568,Print
1569,Print
1570,Television
1571,Internet
1572,Print
1573,Print
1574,Print
1576,Print
1577,Radio
1578,Print
1580,Print
1581,Print
1582,Radio
1585,Internet
1587,Print
1589,Radio
1590,Radio
1591,Radio
1592,Television
1593,Internet
1595,Print
1595,Television
1598,Television
1599,Print
1602,Radio
1603,Television
1604,Television
1605,Radio
1606,Radio
1608,Radio
1610,Radio
1611,Print
1614,Print
1615,Print
1617,Print
1618,Print
1622,Print
1622,Internet
1625,Print
1626,Print
1627,Internet
1627,Print
1627,Television
1629,Internet
1631,Radio
1632,Internet
1633,Radio
1635,Radio
1636,Print
1637,Print
1639,Print
1640,Print
1642,Radio
1644,Print
1647,Print
1648,Print
1649,Print
1651,Radio
1652,Print
1653,Print
1654,Radio
1656,Print
1657,Radio
1658,Print
1659,Print
1660,Internet
1661,Print
1662,Radio
1663,Print
1664,Print
1665,Print
1666,Print
1667,Print
1668,Print
1669,Print
1670,Internet
1672,Print
1672,Television
1673,Television
1674,Print
1675,Print
1676,Television
1677,Radio
1678,Print
1679,Internet
1679,Print
1680,Internet
1681,Print
1682,Print
1683,Print
1684,Print
1685,Internet
1686,Television
1688,Television
1689,Print
1689,Internet
1690,Print
1691,Print
1692,Television
1693,Internet
1694,Print
1695,Internet
1695,Print
1696,Print
1697,Print
1698,Print
1699,Radio
1700,Internet
1701,Television
1701,Internet
1702,Print
1702,Television
1703,Television
1704,Documentary Film
1705,Print
1706,Internet
1706,Radio
1708,Television
1709,Documentary Film
1709,Internet
1709,Television
1710,Internet
1711,Television
1711,Internet
1712,Television
1713,Television
1714,Television
1715,Television
1716,Television
1717,Television
1718,Television
1718,Internet
1719,Television
1720,Radio
1721,Print
1722,Radio
1724,Television
1725,Print
1726,Print
1727,Internet
1728,Print
1729,Television
1730,Television
1731,Print
1732,Print
1733,Television
1734,Internet
1737,Print
1739,Radio
1741,Print
1742,Internet
1743,Print
1744,Internet
1745,Print
1746,Radio
1747,Internet
1748,Internet
1749,Print
1750,Print
1751,Print
1752,Print
1752,Internet
1753,Print
1754,Internet
1754,Print
1755,Print
1756,Print
1759,Print
1760,Television
1762,Internet
1764,Print
1765,Print
1767,Print
1768,Print
1769,Print
1770,Radio
1770,Television
1773,Internet
1774,Print
1775,Print
1776,Documentary Film
1777,Internet
1778,Internet
1779,Print
1781,Internet
1782,Print
1783,Internet
1784,Internet
1785,Print
1786,Print
1786,Internet
1787,Print
1787,Internet
1789,Internet
1790,Print
1790,Radio
1791,Television
1792,Print
1793,Internet
1794,Internet
1795,Print
1796,Print
1797,Television
1797,Internet
1799,Internet
1799,Print
1800,Print
1801,Internet
1802,Print
1803,Internet
1804,Internet
1806,Internet
1807,Internet
1807,Print
1808,Internet
1809,Print
1810,Television
1811,Television
1814,Print
1815,Print
1818,Print
1819,Print
1820,Print
1821,Internet
1822,Internet
1823,Print
1824,Internet
1825,Print
1825,Internet
1826,Print
1827,Internet
1828,Internet
1829,Internet
1830,Internet
1831,Print
1832,Internet
1833,Internet
1834,Internet
1835,Print
1837,Internet
1838,Print
1839,Internet
1839,Television
1840,Internet
1840,Print
1841,Print
1842,Internet
1843,Internet
1844,Internet
1845,Print
1845,Internet
1847,Radio
1847,Television
1849,Radio
1852,Print
1854,Print
1854,Radio
1856,Print
1859,Print
1862,Print
1863,Print
1863,Radio
1864,Print
1864,Internet
1865,Print
1866,Internet
1867,Internet
1868,Internet
1870,Internet
1871,Internet
1871,Print
1872,Print
1873,Internet
1874,Internet
