J_Id,sourceOfFire
2,Political Group
3,Government Officials
6,Military Officials
11,Military Officials
17,Military Officials
18,Political Group
22,Political Group
31,Political Group
36,Political Group
39,Political Group
42,Political Group
47,Military Officials
48,Government Officials
48,Military Officials
49,Political Group
55,Military Officials
57,Government Officials
58,Military Officials
59,Political Group
60,Political Group
61,Political Group
62,Political Group
63,Government Officials
65,Military Officials
67,Criminal Group
68,Military Officials
69,Criminal Group
70,Paramilitary Group
71,Political Group
74,Political Group
75,Military Officials
79,Political Group
80,Political Group
81,Political Group
84,Political Group
85,Military Officials
87,Military Officials
95,Political Group
99,Paramilitary Group
101,Political Group
105,Political Group
123,Political Group
125,Political Group
126,Political Group
127,Political Group
129,Local Residents
135,Political Group
137,Political Group
139,Political Group
144,Military Officials
147,Political Group
152,Political Group
153,Political Group
154,Political Group
155,Criminal Group
157,Government Officials
158,Criminal Group
166,Paramilitary Group
169,Military Officials
171,Military Officials
173,Military Officials
174,Political Group
185,Paramilitary Group
186,Military Officials
187,Military Officials
189,Political Group
190,Military Officials
191,Military Officials
192,Military Officials
200,Political Group
201,Military Officials
203,Political Group
205,Political Group
206,Government Officials
206,Criminal Group
208,Paramilitary Group
210,Political Group
211,Criminal Group
213,Political Group
215,Paramilitary Group
216,Political Group
217,Political Group
218,Political Group
219,Political Group
221,Political Group
224,Military Officials
225,Military Officials
226,Criminal Group
228,Political Group
231,Political Group
237,Political Group
244,Military Officials
245,Political Group
251,Government Officials
261,Political Group
262,Political Group
263,Political Group
265,Political Group
268,Military Officials
269,Military Officials
271,Political Group
280,Government Officials
287,Political Group
288,Government Officials
289,Criminal Group
291,Criminal Group
291,Local Residents
291,Military Officials
291,Paramilitary Group
291,Political Group
292,Military Officials
293,Military Officials
296,Military Officials
297,Criminal Group
298,Paramilitary Group
303,Military Officials
305,Military Officials
307,Military Officials
310,Paramilitary Group
311,Criminal Group
314,Criminal Group
315,Political Group
317,Military Officials
319,Political Group
329,Military Officials
330,Political Group
331,Political Group
337,Military Officials
338,Political Group
344,Military Officials
346,Political Group
348,Political Group
349,Political Group
350,Military Officials
352,Political Group
357,Military Officials
366,Government Officials
367,Local Residents
369,Political Group
371,Political Group
372,Military Officials
373,Paramilitary Group
374,Political Group
375,Political Group
378,Political Group
379,Criminal Group
386,Military Officials
388,Political Group
393,Political Group
394,Political Group
395,Military Officials
398,Military Officials
399,Military Officials
400,Paramilitary Group
401,Military Officials
405,Government Officials
407,Political Group
410,Military Officials
411,Military Officials
412,Paramilitary Group
413,Political Group
415,Government Officials
419,Military Officials
421,Military Officials
423,Military Officials
426,Government Officials
428,Paramilitary Group
429,Political Group
431,Government Officials
432,Government Officials
435,Mob Violence
436,Military Officials
437,Military Officials
438,Government Officials
440,Government Officials
441,Political Group
445,Government Officials
453,Political Group
457,Government Officials
458,Political Group
458,Paramilitary Group
462,Criminal Group
463,Government Officials
467,Political Group
468,Government Officials
471,Military Officials
475,Political Group
476,Political Group
478,Political Group
480,Political Group
486,Military Officials
487,Political Group
490,Government Officials
492,Paramilitary Group
499,Political Group
502,Military Officials
511,Political Group
512,Political Group
513,Political Group
515,Political Group
519,Political Group
523,Government Officials
525,Criminal Group
531,Political Group
537,Paramilitary Group
556,Political Group
564,Political Group
565,Military Officials
567,Political Group
568,Military Officials
569,Military Officials
572,Military Officials
574,Political Group
586,Criminal Group
587,Unknown Fire
590,Political Group
591,Political Group
592,Political Group
600,Political Group
601,Government Officials
604,Government Officials
606,Military Officials
611,Political Group
616,Criminal Group
621,Government Officials
624,Government Officials
626,Political Group
627,Government Officials
630,Military Officials
631,Local Residents
632,Political Group
642,Military Officials
652,Mob Violence
653,Paramilitary Group
655,Political Group
656,Military Officials
658,Criminal Group
659,Government Officials
660,Local Residents
661,Local Residents
663,Government Officials
667,Mob Violence
668,Criminal Group
672,Political Group
679,Paramilitary Group
680,Government Officials
683,Political Group
684,Military Officials
686,Criminal Group
686,Local Residents
689,Paramilitary Group
691,Paramilitary Group
693,Criminal Group
706,Political Group
707,Government Officials
707,Military Officials
710,Political Group
711,Political Group
715,Government Officials
716,Military Officials
718,Criminal Group
719,Military Officials
724,Military Officials
725,Local Residents
726,Government Officials
729,Criminal Group
731,Political Group
733,Military Officials
736,Government Officials
740,Military Officials
747,Government Officials
748,Political Group
750,Mob Violence
756,Political Group
757,Criminal Group
757,Government Officials
758,Criminal Group
759,Criminal Group
761,Criminal Group
762,Paramilitary Group
764,Government Officials
765,Political Group
766,Military Officials
768,Military Officials
770,Political Group
771,Military Officials
772,Government Officials
788,Political Group
791,Political Group
792,Government Officials
796,Government Officials
799,Government Officials
800,Political Group
803,Government Officials
804,Military Officials
814,Political Group
816,Political Group
819,Political Group
826,Criminal Group
826,Government Officials
828,Political Group
830,Political Group
832,Political Group
833,Military Officials
834,Government Officials
835,Government Officials
837,Government Officials
843,Criminal Group
844,Criminal Group
845,Political Group
847,Political Group
852,Local Residents
853,Political Group
854,Government Officials
856,Government Officials
860,Criminal Group
861,Political Group
867,Government Officials
868,Criminal Group
868,Government Officials
871,Criminal Group
872,Criminal Group
872,Political Group
879,Government Officials
880,Government Officials
881,Criminal Group
886,Government Officials
887,Paramilitary Group
889,Paramilitary Group
895,Criminal Group
895,Mob Violence
901,Political Group
903,Criminal Group
907,Criminal Group
908,Government Officials
909,Government Officials
910,Military Officials
911,Political Group
926,Paramilitary Group
928,Political Group
932,Political Group
947,Government Officials
950,Political Group
951,Military Officials
959,Military Officials
960,Political Group
961,Criminal Group
968,Paramilitary Group
971,Mob Violence
972,Military Officials
973,Political Group
974,Political Group
975,Political Group
981,Political Group
983,Political Group
984,Political Group
985,Political Group
989,Political Group
993,Political Group
995,Political Group
998,Political Group
1013,Criminal Group
1017,Political Group
1022,Criminal Group
1024,Government Officials
1029,Political Group
1030,Political Group
1031,Government Officials
1033,Military Officials
1035,Government Officials
1036,Government Officials
1037,Government Officials
1038,Government Officials
1043,Military Officials
1044,Military Officials
1048,Political Group
1049,Political Group
1050,Political Group
1051,Political Group
1052,Political Group
1054,Paramilitary Group
1055,Criminal Group
1057,Government Officials
1058,Military Officials
1060,Criminal Group
1061,Paramilitary Group
1061,Political Group
1062,Criminal Group
1063,Criminal Group
1066,Criminal Group
1077,Government Officials
1080,Political Group
1084,Paramilitary Group
1088,Government Officials
1096,Political Group
1097,Government Officials
1099,Government Officials
1101,Criminal Group
1103,Government Officials
1105,Military Officials
1111,Political Group
1112,Political Group
1114,Military Officials
1115,Government Officials
1116,Criminal Group
1117,Local Residents
1119,Criminal Group
1120,Government Officials
1122,Government Officials
1123,Government Officials
1124,Political Group
1130,Military Officials
1131,Political Group
1134,Political Group
1139,Political Group
1140,Political Group
1142,Mob Violence
1143,Paramilitary Group
1145,Paramilitary Group
1148,Government Officials
1150,Government Officials
1156,Paramilitary Group
1158,Criminal Group
1159,Criminal Group
1161,Military Officials
1163,Military Officials
1164,Political Group
1165,Government Officials
1169,Government Officials
1171,Criminal Group
1179,Paramilitary Group
1180,Paramilitary Group
1182,Paramilitary Group
1183,Political Group
1193,Military Officials
1194,Political Group
1201,Political Group
1205,Political Group
1206,Political Group
1213,Government Officials
1220,Political Group
1225,Political Group
1227,Political Group
1233,Criminal Group
1233,Military Officials
1238,Government Officials
1239,Mob Violence
1242,Political Group
1243,Paramilitary Group
1244,Government Officials
1245,Political Group
1249,Military Officials
1254,Military Officials
1255,Political Group
1261,Political Group
1262,Political Group
1263,Political Group
1267,Paramilitary Group
1275,Political Group
1276,Military Officials
1278,Political Group
1288,Government Officials
1292,Government Officials
1295,Government Officials
1299,Criminal Group
1307,Political Group
1308,Political Group
1310,Military Officials
1310,Paramilitary Group
1321,Mob Violence
1325,Paramilitary Group
1326,Local Residents
1336,Political Group
1337,Political Group
1339,Unknown Fire
1340,Government Officials
1342,Political Group
1343,Military Officials
1344,Political Group
1345,Political Group
1353,Political Group
1359,Mob Violence
1360,Military Officials
1365,Government Officials
1366,Political Group
1377,Military Officials
1379,Political Group
1380,Political Group
1387,Government Officials
1388,Military Officials
1389,Criminal Group
1390,Government Officials
1393,Political Group
1394,Political Group
1399,Political Group
1407,Military Officials
1408,Political Group
1417,Military Officials
1418,Military Officials
1426,Political Group
1430,Criminal Group
1438,Military Officials
1439,Political Group
1443,Political Group
1444,Military Officials
1449,Military Officials
1455,Political Group
1457,Government Officials
1461,Paramilitary Group
1463,Government Officials
1465,Criminal Group
1465,Government Officials
1466,Political Group
1468,Political Group
1469,Local Residents
1469,Political Group
1470,Government Officials
1472,Criminal Group
1473,Military Officials
1474,Political Group
1475,Political Group
1477,Political Group
1478,Military Officials
1480,Political Group
1481,Political Group
1484,Political Group
1487,Military Officials
1489,Political Group
1491,Political Group
1494,Paramilitary Group
1500,Criminal Group
1504,Political Group
1506,Military Officials
1511,Political Group
1513,Government Officials
1513,Military Officials
1516,Criminal Group
1518,Criminal Group
1518,Political Group
1518,Government Officials
1521,Political Group
1523,Government Officials
1524,Political Group
1525,Political Group
1526,Political Group
1530,Military Officials
1538,Government Officials
1546,Military Officials
1553,Government Officials
1556,Military Officials
1557,Government Officials
1558,Government Officials
1558,Criminal Group
1560,Military Officials
1561,Government Officials
1563,Local Residents
1564,Military Officials
1568,Criminal Group
1570,Government Officials
1571,Military Officials
1573,Military Officials
1574,Local Residents
1576,Government Officials
1577,Criminal Group
1578,Military Officials
1580,Government Officials
1582,Government Officials
1589,Government Officials
1590,Government Officials
1591,Government Officials
1592,Political Group
1595,Criminal Group
1598,Unknown Fire
1599,Criminal Group
1602,Criminal Group
1603,Government Officials
1604,Military Officials
1605,Government Officials
1606,Paramilitary Group
1608,Government Officials
1608,Paramilitary Group
1610,Paramilitary Group
1614,Criminal Group
1617,Political Group
1618,Criminal Group
1622,Government Officials
1625,Criminal Group
1629,Criminal Group
1631,Political Group
1633,Government Officials
1635,Political Group
1636,Political Group
1640,Military Officials
1642,Criminal Group
1644,Political Group
1648,Military Officials
1649,Military Officials
1651,Government Officials
1653,Paramilitary Group
1659,Criminal Group
1660,Criminal Group
1660,Government Officials
1667,Criminal Group
1668,Military Officials
1670,Military Officials
1675,Political Group
1676,Political Group
1676,Paramilitary Group
1678,Government Officials
1682,Criminal Group
1682,Local Residents
1684,Government Officials
1686,Criminal Group
1688,Military Officials
1692,Political Group
1694,Government Officials
1697,Military Officials
1701,Political Group
1702,Military Officials
1703,Military Officials
1705,Political Group
1708,Political Group
1712,Military Officials
1713,Political Group
1714,Military Officials
1715,Political Group
1716,Political Group
1717,Political Group
1718,Political Group
1719,Political Group
1721,Political Group
1722,Political Group
1725,Government Officials
1730,Political Group
1731,Government Officials
1732,Local Residents
1733,Criminal Group
1733,Local Residents
1733,Military Officials
1733,Paramilitary Group
1733,Political Group
1737,Paramilitary Group
1739,Government Officials
1743,Political Group
1746,Military Officials
1750,Military Officials
1751,Paramilitary Group
1764,Political Group
1765,Government Officials
1767,Government Officials
1768,Government Officials
1773,Military Officials
1775,Military Officials
1785,Government Officials
1789,Government Officials
1791,Criminal Group
1794,Criminal Group
1794,Government Officials
1797,Military Officials
1797,Political Group
1811,Political Group
1815,Government Officials
1839,Political Group
1845,Military Officials
1847,Criminal Group
1849,Local Residents
1852,Criminal Group
1854,Paramilitary Group
1856,Criminal Group
1859,Military Officials
1862,Criminal Group
1863,Government Officials
1864,Political Group
1865,Political Group
1870,Criminal Group
1871,Political Group
1875,Political Group
1876,Criminal Group
1881,Political Group
1882,Political Group
1884,Criminal Group
1887,Government Officials
1888,Military Officials
1889,Military Officials
1890,Political Group
1891,Paramilitary Group
1892,Political Group
1893,Political Group
1895,Government Officials
1904,Military Officials
1905,Political Group
1906,Military Officials
1909,Military Officials
1912,Military Officials
1912,Political Group
1916,Political Group
1917,Military Officials
1921,Government Officials
1931,Political Group
1933,Government Officials
1939,Criminal Group
1942,Criminal Group
1944,Military Officials
1946,Paramilitary Group
1947,Criminal Group
1953,Paramilitary Group
1954,Government Officials
1956,Political Group
1958,Criminal Group
1959,Paramilitary Group
1961,Political Group
1962,Military Officials
1963,Government Officials
1966,Criminal Group
1968,Government Officials
1970,Criminal Group
1973,Government Officials
1975,Government Officials
1976,Government Officials
1977,Criminal Group
1981,Paramilitary Group
1982,Government Officials
1984,Local Residents
1990,Military Officials
1991,Local Residents
1991,Military Officials
1994,Government Officials
1995,Military Officials
2014,Criminal Group
2019,Military Officials
2022,Military Officials
2023,Military Officials
2032,Political Group
2053,Political Group
2074,Government Officials
2077,Military Officials
2079,Military Officials
2080,Government Officials
2086,Political Group
2087,Military Officials
2087,Political Group
2091,Military Officials
2095,Military Officials
2096,Government Officials
2103,Political Group
2107,Criminal Group
2109,Political Group
2112,Political Group
2116,Military Officials
2121,Military Officials
2124,Military Officials
2128,Political Group
2130,Political Group
2133,Political Group
2135,Political Group
2140,Political Group
2149,Military Officials
2151,Military Officials
2152,Political Group
2155,Military Officials
2157,Military Officials
2159,Military Officials
2166,Military Officials
2170,Political Group
2173,Political Group
2176,Political Group
2180,Political Group
2183,Military Officials
2186,Political Group
2187,Government Officials
2187,Political Group
2188,Political Group
2194,Political Group
2195,Criminal Group
2202,Political Group
2203,Political Group
2206,Paramilitary Group
2207,Military Officials
2211,Political Group
2213,Criminal Group
2216,Political Group
2217,Military Officials
2219,Political Group
2221,Military Officials
2224,Paramilitary Group
2228,Political Group
2229,Political Group
2230,Political Group
2232,Political Group
2239,Military Officials
2239,Political Group
2244,Criminal Group
2247,Government Officials
2248,Government Officials
2255,Military Officials
2257,Political Group
2261,Political Group
2262,Political Group
2264,Political Group
2268,Political Group
2274,Government Officials
2279,Political Group
2280,Military Officials
2281,Criminal Group
2283,Military Officials
2284,Political Group
2288,Military Officials
2288,Political Group
2289,Political Group
2290,Political Group
2295,Political Group
2296,Political Group
2303,Political Group
2303,Criminal Group
2304,Government Officials
2306,Military Officials
2308,Political Group
2309,Political Group
2313,Political Group
2314,Political Group
2315,Political Group
2321,Political Group
2323,Political Group
2327,Political Group
2328,Political Group
2333,Political Group
2338,Political Group
2339,Government Officials
2345,Political Group
2346,Political Group
2348,Military Officials
2350,Political Group
2355,Government Officials
2357,Political Group
2360,Political Group
2361,Government Officials
2363,Political Group
2364,Political Group
2365,Political Group
2366,Military Officials
2369,Government Officials
2370,Political Group
2376,Political Group
2381,Military Officials
2382,Government Officials
2385,Mob Violence
2387,Political Group
2391,Government Officials
2391,Criminal Group
2399,Political Group
2400,Military Officials
2413,Government Officials
2422,Government Officials
2422,Criminal Group
2447,Government Officials
2459,Political Group
2461,Criminal Group
2463,Government Officials
2466,Government Officials
2467,Criminal Group
2468,Government Officials
2471,Political Group
2472,Military Officials
2473,Military Officials
2474,Criminal Group
2475,Criminal Group
2482,Political Group
2483,Military Officials
2485,Military Officials
2486,Government Officials
2487,Political Group
2489,Government Officials
2491,Political Group
2500,Government Officials
2502,Military Officials
2503,Paramilitary Group
2504,Political Group
2505,Military Officials
2507,Criminal Group
2507,Government Officials
2508,Government Officials
2510,Military Officials
2517,Paramilitary Group
2525,Political Group
2526,Military Officials
2529,Political Group
2530,Political Group
2536,Government Officials
2539,Government Officials
2540,Political Group
2542,Criminal Group
2542,Local Residents
2542,Military Officials
2542,Paramilitary Group
2542,Political Group
2543,Government Officials
2547,Military Officials
2548,Military Officials
2551,Government Officials
2551,Military Officials
2554,Criminal Group
2562,Political Group
2569,Political Group
2570,Political Group
2572,Criminal Group
2572,Government Officials
2580,Unknown Fire
2581,Political Group
2583,Political Group
2597,Political Group
2598,Military Officials
2600,Mob Violence
2601,Criminal Group
2602,Political Group
2603,Political Group
2610,Criminal Group
2611,Unknown Fire
2612,Political Group
2613,Government Officials
2617,Government Officials
2620,Government Officials
2621,Political Group
2623,Political Group
2638,Political Group
2641,Government Officials
2642,Local Residents
2643,Political Group
2646,Military Officials
2648,Military Officials
2650,Military Officials
2658,Political Group
2659,Government Officials
2660,Political Group
2661,Government Officials
2661,Mob Violence
2663,Government Officials
2666,Military Officials
2672,Political Group
2673,Political Group
2675,Political Group
2678,Political Group
2681,Political Group
2685,Political Group
2686,Government Officials
2688,Criminal Group
2689,Political Group
2690,Military Officials
2691,Political Group
2698,Criminal Group
2699,Criminal Group
2701,Criminal Group
2702,Political Group
2703,Government Officials
2707,Military Officials
2708,Military Officials
2709,Military Officials
2710,Political Group
2712,Military Officials
2714,Political Group
2720,Political Group
2735,Government Officials
2736,Political Group
2742,Government Officials
2745,Government Officials
2751,Political Group
2756,Political Group
2757,Military Officials
2763,Criminal Group
2765,Mob Violence
2768,Political Group
2769,Local Residents
2770,Military Officials
2773,Local Residents
2776,Criminal Group
2777,Paramilitary Group
2780,Military Officials
2781,Paramilitary Group
2783,Criminal Group
2784,Government Officials
2785,Government Officials
2791,Military Officials
2793,Criminal Group
2794,Criminal Group
2798,Government Officials
2799,Government Officials
2800,Government Officials
2803,Government Officials
2805,Military Officials
2807,Government Officials
2809,Criminal Group
2811,Government Officials
2815,Political Group
2816,Local Residents
2820,Military Officials
2822,Political Group
2823,Political Group
2825,Military Officials
2828,Political Group
2829,Political Group
2836,Criminal Group
2839,Political Group
2848,Political Group
2850,Paramilitary Group
2851,Political Group
2852,Political Group
2855,Political Group
2858,Political Group
2864,Political Group
2865,Political Group
2869,Paramilitary Group
2871,Political Group
2872,Political Group
2873,Political Group
2876,Government Officials
2882,Political Group
2886,Military Officials
2887,Political Group
2889,Paramilitary Group
2890,Military Officials
2894,Military Officials
2898,Political Group
2900,Military Officials
2902,Criminal Group
2902,Government Officials
2903,Criminal Group
2905,Political Group
2906,Political Group
2908,Military Officials
2909,Political Group
2912,Political Group
2916,Political Group
2919,Government Officials
2928,Government Officials
2931,Criminal Group
2932,Military Officials
2936,Local Residents
2937,Government Officials
2939,Paramilitary Group
2941,Political Group
2943,Government Officials
2944,Political Group
2949,Local Residents
2950,Government Officials
2954,Political Group
2955,Political Group
2956,Government Officials
2957,Criminal Group
2971,Political Group
2974,Political Group
2984,Military Officials
3006,Political Group
3008,Political Group
3009,Government Officials
3010,Military Officials
3013,Military Officials
3014,Military Officials
3015,Criminal Group
3016,Criminal Group
3019,Mob Violence
3020,Military Officials
3025,Political Group
3026,Political Group
3027,Political Group
3028,Political Group
3033,Political Group
3034,Political Group
3035,Political Group
3040,Military Officials
3047,Political Group
3052,Political Group
3054,Military Officials
3067,Government Officials
3070,Political Group
3071,Political Group
3075,Criminal Group
3077,Political Group
3079,Local Residents
3092,Government Officials
3094,Government Officials
3096,Military Officials
3097,Political Group
3099,Political Group
3101,Political Group
3103,Political Group
3104,Criminal Group
3105,Political Group
3107,Government Officials
3109,Political Group
3111,Government Officials
3112,Criminal Group
3113,Political Group
3114,Political Group
3115,Political Group
3116,Political Group
3119,Political Group
3123,Mob Violence
3126,Military Officials
3128,Military Officials
3132,Military Officials
3133,Military Officials
3135,Government Officials
3137,Military Officials
3138,Political Group
3140,Political Group
3142,Political Group
3144,Political Group
3147,Government Officials
3156,Political Group
3157,Military Officials
3158,Military Officials
3161,Local Residents
3162,Military Officials
3172,Political Group
3181,Military Officials
3192,Political Group
3193,Political Group
3194,Political Group
3195,Political Group
3196,Unknown Fire
3200,Paramilitary Group
3209,Government Officials
3211,Military Officials
3214,Military Officials
3215,Criminal Group
3224,Government Officials
3242,Military Officials
3248,Military Officials
3250,Military Officials
3254,Political Group
3255,Criminal Group
3257,Political Group
3258,Local Residents
3264,Criminal Group
3267,Government Officials
3272,Criminal Group
3273,Criminal Group
3283,Military Officials
3285,Criminal Group
3290,Criminal Group
3292,Political Group
3298,Government Officials
3300,Political Group
3303,Criminal Group
3305,Military Officials
3308,Criminal Group
3309,Political Group
3310,Military Officials
3313,Military Officials
3314,Criminal Group
3315,Military Officials
3318,Political Group
3319,Military Officials
3322,Military Officials
3323,Paramilitary Group
3326,Local Residents
3328,Paramilitary Group
3329,Government Officials
3334,Political Group
3335,Local Residents
3337,Military Officials
3338,Political Group
3343,Political Group
3344,Military Officials
3346,Government Officials
3347,Political Group
3349,Military Officials
3366,Military Officials
3367,Political Group
3369,Political Group
3375,Local Residents
3378,Political Group
3381,Military Officials
3385,Military Officials
3386,Military Officials
3387,Local Residents
3388,Government Officials
3395,Government Officials
3403,Military Officials
3408,Political Group
3409,Government Officials
3413,Criminal Group
3426,Political Group
3427,Political Group
3430,Military Officials
3436,Political Group
3454,Military Officials
3456,Military Officials
3458,Military Officials
3459,Military Officials
3465,Government Officials
3466,Criminal Group
3467,Political Group
3469,Military Officials
3475,Military Officials
3478,Political Group
3479,Political Group
3483,Political Group
3486,Government Officials
3487,Military Officials
3489,Political Group
3490,Government Officials
3493,Local Residents
3495,Political Group
3496,Local Residents
3516,Government Officials
3533,Military Officials
3539,Political Group
3545,Government Officials
3546,Political Group
3551,Paramilitary Group
3555,Government Officials
3555,Local Residents
3562,Government Officials
3562,Local Residents
3583,Local Residents
